state,party,votes,total_votes_counted,votes_pct
YOBE,pdp,198567,378397,52.48
YOBE,apc,151459,378397,40.03
YOBE,nnpp,18270,378397,4.83
YOBE,others,7695,378397,2.03
YOBE,lp,2406,378397,0.64
ZAMFARA,apc,298396,502923,59.33
ZAMFARA,pdp,193978,502923,38.57
ZAMFARA,others,4845,502923,0.96
ZAMFARA,nnpp,4044,502923,0.80
ZAMFARA,lp,1660,502923,0.33
